ID,Force.Name,Arson,Bicycle theft,Criminal damage,Death or serious injury - unlawful driving,Domestic burglary,Homicide,Miscellaneous crimes,Non-domestic burglary,Other sexual offences,Other theft offences,Possession of drugs,Possession of weapons offences,Public order offences,Rape offences,Robbery of business property,Robbery of personal property,Shoplifting,Stalking and harassment,Theft from a vehicle,Theft from the person,Theft of a motor vehicle,Trafficking of drugs,Vehicle interference,Violence with injury,Violence without injury
1,Avon & Somerset,717,3443,15492,3,8029,14,1906,3254,2676,14013,2565,723,17798,1773,194,1181,11290,11359,7886,1136,2503,598,1763,12255,17500
2,Bedfordshire,215,1023,5674,8,4512,4,524,1450,781,5039,867,385,2492,437,61,694,3849,2778,4122,750,1155,170,680,4535,4948
3,Cambridgeshire,355,4295,7818,25,4452,7,998,1882,1105,8042,1001,510,4136,615,45,621,5421,2425,5108,991,1002,419,555,4957,9251
4,Cheshire,491,1397,9877,8,3489,5,1731,1442,1814,7200,1781,460,17098,886,55,326,7532,6564,2256,587,995,575,498,9930,10323
5,Cleveland,368,963,9187,11,4329,3,882,1550,1053,6330,998,323,2504,637,80,401,8267,2605,2627,488,824,265,945,5543,6039
6,Cumbria,193,269,4948,16,1148,3,604,907,915,2728,682,209,1761,424,15,80,2843,1228,688,163,347,170,136,3944,4112
7,Derbyshire,322,883,7782,4,4524,9,979,1719,1099,6366,1567,469,1619,705,65,544,6487,1211,3786,596,1176,537,1164,7890,3886
8,Devon & Cornwall,587,889,14487,44,2744,14,2150,3385,2886,10955,2856,832,6955,1599,22,508,8008,7941,4086,963,1170,888,644,14364,14515
9,Dorset,182,1365,6661,10,2805,3,772,1935,1027,6357,1343,274,2039,556,28,260,4147,2465,2739,520,709,205,339,5833,6541
10,Durham,695,534,9472,6,3292,3,1700,1419,1378,5493,862,256,5208,632,50,209,4422,7689,2279,282,839,282,584,5785,7808
11,Dyfed-Powys,129,176,4062,1,1026,4,522,647,707,3059,1555,142,1246,347,7,31,1846,2226,518,82,272,220,106,3073,3738
12,Essex,539,2499,15189,38,9251,25,2901,3568,2360,12754,2681,1961,10003,1362,168,1342,9889,10616,8037,1572,4337,629,1873,13722,16837
13,Gloucestershire,179,786,4283,8,2721,3,464,1288,638,3839,749,214,1281,375,48,280,3601,1256,2729,371,616,296,879,4929,2243
14,Greater Manchester,2614,4340,38084,22,23456,89,7750,8508,5831,31703,3025,2865,50185,3691,848,6095,17395,20217,19071,6649,7460,1784,4309,28018,45809
15,Gwent,709,310,7983,4,2620,7,1198,1121,900,4651,944,208,4753,417,38,219,3888,3683,2079,350,814,425,458,4854,6190
16,Hampshire,583,4120,18572,22,8058,19,2918,4095,3594,13512,2833,1443,14957,1925,150,991,13770,7798,8264,1316,2422,853,2331,21121,23874
17,Hertfordshire,331,1497,9575,11,5148,9,1690,1953,1333,8971,2804,638,5911,841,72,803,8059,4349,5128,1189,1790,471,1384,8787,10115
18,Humberside,705,2263,12060,30,6657,16,2037,2466,1808,8425,858,411,4979,865,94,759,9665,4165,3880,662,1526,395,969,10063,10872
19,Kent,778,2026,21926,45,8434,14,4696,3574,3939,16425,1922,1087,15486,2529,132,1445,12178,13446,7297,1121,3225,779,2056,19625,33002
20,Lancashire,787,1652,18258,15,8635,14,2112,4617,2881,14769,1368,540,6083,1295,115,820,9510,8987,6152,1519,2263,688,1556,17167,15225
21,Leicestershire,317,1864,9476,8,6331,16,1557,2880,1346,10416,1102,732,4705,754,72,808,6599,4972,7579,696,1727,462,669,7208,9664
22,Lincolnshire,298,1133,5275,7,3325,7,849,1396,956,4953,1224,409,1490,606,44,188,5503,1045,2167,284,678,386,629,4313,3562
23,"London, City of",4,367,251,1,14,2,126,272,72,1500,251,61,279,25,7,67,738,156,114,610,74,73,13,382,411
24,Merseyside,900,1983,17100,19,10187,28,2507,2618,2082,10911,5579,856,9531,1155,242,1180,8967,9158,6824,1667,3259,1302,1618,13645,12106
25,Metropolitan Police,2209,20332,57608,53,57074,157,9839,19370,12009,106576,32619,7581,48531,7712,2251,30433,46293,40787,59884,46804,31481,2808,13887,77050,82180
26,Norfolk,354,1423,7038,8,2738,6,1570,1274,1577,5583,1537,423,4893,841,24,401,4403,3246,1674,552,739,447,320,6621,8543
27,North Wales,549,524,7081,10,2489,12,1269,1193,2212,4973,1162,243,2854,810,20,177,4139,3730,1262,280,535,248,256,7049,8455
28,North Yorkshire,173,1117,5724,13,2263,6,745,1383,1001,4352,1201,244,1522,561,15,151,4699,1418,1485,412,541,233,417,4906,4495
29,Northamptonshire,298,837,6483,4,3746,5,1017,2209,1229,5765,957,527,1568,643,148,792,4530,1519,4703,554,981,283,1125,6750,7967
30,Northumbria,1410,2168,21731,22,6365,15,3653,2985,2828,16672,2214,1089,20951,1714,151,627,14122,12978,5278,1425,1628,668,1107,12846,18373
31,Nottinghamshire,523,1560,11587,9,5796,15,1908,2424,2074,12360,2151,928,5808,1309,107,976,10028,5339,5890,706,2288,666,1192,11702,8981
32,South Wales,579,2025,12592,20,5159,12,2186,2329,2167,9939,2815,594,10277,1013,55,435,10290,9683,5506,1227,2136,747,924,11749,10400
33,South Yorkshire,1178,1419,18399,25,10594,10,3299,4418,2684,15463,1403,1168,11975,1404,212,1408,12043,11717,8102,2058,2903,729,2803,13938,12566
34,Staffordshire,477,1209,10527,13,4218,11,1943,1990,2258,9062,1503,680,4383,1139,133,725,7521,7327,3320,387,1658,415,720,11193,10956
35,Suffolk,330,1241,6850,8,2950,2,1112,1395,1252,4846,1156,385,4664,779,30,331,4148,4006,2760,501,654,397,616,5365,7338
36,Surrey,499,1396,9105,10,4949,6,1622,1523,1400,8674,2029,555,7472,726,46,306,4293,4388,3624,519,1425,447,811,7129,9899
37,Sussex,633,2747,13465,10,5012,30,2380,3121,2775,13270,2733,1373,9960,1291,92,827,8531,6147,4707,1609,1855,442,982,13176,15658
38,Thames Valley,914,6868,18613,28,8744,18,2397,4262,2993,20415,3546,1199,4741,1798,143,1173,16682,4016,10880,3595,2835,1168,1606,13723,16785
39,Warwickshire,170,956,4432,20,3253,11,748,1235,930,4452,669,364,2065,508,76,332,3758,2465,2996,439,1035,223,845,4391,5038
40,West Mercia,442,1158,10100,24,5670,17,1594,2345,2256,9185,1645,711,4505,1181,64,486,7453,6369,3846,789,1296,531,865,10111,11707
41,West Midlands,1046,3227,25139,36,20925,41,3393,7155,3993,23836,3171,1857,11579,2470,910,6552,19883,9843,20663,3012,10438,959,5473,27897,19895
42,West Yorkshire,1801,2553,30599,41,19847,28,6911,7369,5147,26149,3682,1882,22470,2957,452,2686,18556,20346,14934,4158,5263,1938,4156,26526,35069
43,Wiltshire,158,912,5938,2,2787,2,790,1295,1080,4445,790,281,2463,601,26,265,4196,1913,2480,397,696,215,628,5636,5607
